inputs,prediction,expected_output,score,cost
"Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/

def count_rotation(arr):   ","def count_rotation(arr):
    n = len(arr)
    for i in range(n - 1):
        if arr[i] > arr[i + 1]:
            return i + 1
    return 0","The solution passed all test cases.
Correct Solution:def count_rotation(arr):   
    for i in range (1,len(arr)): 
        if (arr[i] < arr[i - 1]): 
            return i  
    return 0",1.0,0.0
"Write a function to multiply two integers.

def multiply_int(x, y):","def multiply_int(x, y):
    return x * y","The solution passed all test cases.
Correct Solution:def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)",1.0,0.0
"Write a function to convert a given string to a tuple of characters.

def string_to_tuple(str1):","def string_to_tuple(str1):
    return tuple(str1)","Error: .
 Solution: def string_to_tuple(str1):
    return tuple(str1).
 Test: def check():
    assert string_to_tuple(""python 3.0"")==('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')
    assert string_to_tuple(""item1"")==('i', 't', 'e', 'm', '1')
    assert string_to_tuple(""15.10"")==('1', '5', '.', '1', '0')

Correct Solution:def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result",0.0,0.0
"Write a python function to check whether the given number can be represented as the difference of two squares or not.

def dif_Square(n): ","import math
def dif_Square(n):
    if n % 2 != 0:
        return True
    elif n % 4 == 0:
        return True
    else:
        return False","The solution passed all test cases.
Correct Solution:def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False",1.0,0.0
"Write a function to locate the left insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
import bisect
def left_insertion(a, x):","import bisect
def left_insertion(a, x):
    return bisect.bisect_left(a, x)","The solution passed all test cases.
Correct Solution:import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i",1.0,0.0
"Write a python function to find the length of the longest sublists.

def Find_Max_Length(lst):  ","def Find_Max_Length(lst):
    return max((len(sublist) for sublist in lst)) if lst else 0","The solution passed all test cases.
Correct Solution:def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength ",1.0,0.0
"Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.

def validate(n): ","def validate(n):
    digit_counts = {}
    num_str = str(n)
    for digit in num_str:
        d = int(digit)
        digit_counts[d] = digit_counts.get(d, 0) + 1
    for (digit, count) in digit_counts.items():
        if count > digit:
            return False
    return True","The solution passed all test cases.
Correct Solution:def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True",1.0,0.0
"Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).

def sequential_search(dlist, item):","def sequential_search(dlist, item):
    found = False
    index = -1
    for i in range(len(dlist)):
        if dlist[i] == item:
            found = True
            index = i
            break
    return (found, index)","The solution passed all test cases.
Correct Solution:def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos",1.0,0.0
"Write a function to return the sum of all divisors of a number.

def sum_div(number):","def sum_div(number):
    if number <= 0:
        return 0
    total = 0
    for i in range(1, number + 1):
        if number % i == 0:
            total += i
    return total","Error: .
 Solution: def sum_div(number):
    if number <= 0:
        return 0
    total = 0
    for i in range(1, number + 1):
        if number % i == 0:
            total += i
    return total.
 Test: def check():
    assert sum_div(8)==7
    assert sum_div(12)==16
    assert sum_div(7)==1

Correct Solution:def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)",0.0,0.0
"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.

def large_product(nums1, nums2, N):","def large_product(nums1, nums2, N):
    products = []
    for num1 in nums1:
        for num2 in nums2:
            products.append(num1 * num2)
    products.sort(reverse=True)
    return products[:N] if N <= len(products) else products","The solution passed all test cases.
Correct Solution:def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result",1.0,0.0
"Write a function to remove tuples from the given tuple.

def remove_nested(test_tup):","def remove_nested(test_tup):
    return tuple((element for element in test_tup if not isinstance(element, tuple)))","The solution passed all test cases.
Correct Solution:def remove_nested(test_tup):
  res = tuple()
  for count, ele in enumerate(test_tup):
    if not isinstance(ele, tuple):
      res = res + (ele, )
  return (res) ",1.0,0.0
"Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.

def max_product_tuple(list1):","def max_product_tuple(list1):
    max_product = 0
    for (a, b) in list1:
        current_product = abs(a * b)
        if current_product > max_product:
            max_product = current_product
    return max_product","The solution passed all test cases.
Correct Solution:def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1] )
    return result_max",1.0,0.0
